eta,R,target_rho_db,P_FA,n_trials,P_D,delta_s_rf,mu_h0,mu_h1,std_h0,std_h1,eps_pred,tv_bound,rho_0,rho_eps,pd_thm,wall_s
0.0,1,-3.0,0.001,50,0.16,0.0,0.8492589020025079,1.9201147349962466,0.7231907382613784,1.9904716425235542,0.0,0.0,0.5011872336272722,0.5011872336272722,0.01835180134347936,0.97
0.1,1,-3.0,0.001,50,0.1,0.0,1.0475173129292124,1.841160827861168,0.8022394211585394,2.3734669803106536,0.005000000000000001,0.0,0.5011872336272722,0.5011872336272722,0.01835180134347936,0.93
0.32,1,-3.0,0.001,50,0.08,0.0,0.9459836312075715,1.546018542374196,1.06312344709358,1.4580079553969985,0.0512,0.0,0.5011872336272722,0.5011872336272722,0.01835180134347936,0.97
0.0,4,-3.0,0.001,50,0.22,0.0,3.2332126429685313,7.149632500700859,1.785709390153296,8.04484064400655,0.0,0.0,2.004748934509089,2.004748934509089,0.13832862474743512,2.42
0.1,4,-3.0,0.001,50,0.42,0.0,2.781557862884369,6.9484749533324885,1.294342095431173,4.209296833139021,0.005000000000000001,0.0,2.004748934509089,2.004748934509089,0.13832862474743512,2.39
0.32,4,-3.0,0.001,50,0.28,0.0,3.191778236286729,6.23734786527459,1.4495411481431268,4.818275539064622,0.0512,0.0,2.004748934509089,2.004748934509089,0.13832862474743512,2.37
