eta,acc_meas,acc_se,acc_pinsker_bound,kl_train,pinsker_tv,n_test_features,n_train,n_test,wall_s
0.0,0.5003434065934066,0.0006393881295886577,0.500846507604105,5.732600990460135e-06,0.0016930152082099167,611520,80,80,1.08
0.045,0.5102678571428572,0.0006392534461816775,0.5186709113121281,0.002788823433802823,0.03734182262425619,611520,80,80,1.07
0.1,0.5244063971742543,0.0006386260944318617,0.5388113791457613,0.012050585209568254,0.07762275829152251,611520,80,80,1.09
0.2,0.5492199764521193,0.0006362827667673757,0.5785507545618789,0.04936176833792427,0.15710150912375773,611520,80,80,1.1
0.32,0.5791977367870225,0.0006313164836263876,0.630668873842273,0.13659483672966288,0.26133774768454604,611520,80,80,1.13
0.45,0.6106684981684982,0.0006235297771833276,0.6907558026616011,0.2911022099925735,0.38151160532320216,611520,80,80,1.09
0.63,0.6543023940345369,0.0006081799631694139,0.783934340298245,0.6449496768047969,0.5678686805964901,611520,80,80,1.09
