M gaindb
1 8.8327783
1.2589254 8.3342871
1.5848932 7.8310051
1.9952623 7.3303003
2.5118864 6.8378072
3.1622777 6.3578584
3.9810717 5.8937739
5.0118723 5.4480634
6.3095734 5.0225716
7.9432823 4.6185885
10 4.2369349
12.589254 3.8780335
15.848932 3.5419687
19.952623 3.22854
25.118864 2.9373088
31.622777 2.6676423
39.810717 2.4187525
50.118723 2.1897322
63.095734 1.9795868
79.432823 1.7872631
100 1.6116743
125.89254 1.4517212
158.48932 1.3063103
199.52623 1.1743686
251.18864 1.0548552
316.22777 0.94677027
398.10717 0.8491617
501.18723 0.7611296
630.95734 0.68182897
794.32823 0.61047091
1000 0.54632271
1258.9254 0.48870688
1584.8932 0.4369995
1995.2623 0.39062806
2511.8864 0.34906887
3162.2777 0.31184422
3981.0717 0.27851952
5011.8723 0.2487002
6309.5734 0.2220288
7943.2823 0.19818203
10000 0.17686798
