M gaindb
1 0.31184422
1.2589254 0.27851952
1.5848932 0.2487002
1.9952623 0.2220288
2.5118864 0.19818203
3.1622777 0.17686798
3.9810717 0.15782345
5.0118723 0.14081141
6.3095734 0.12561862
7.9432823 0.11205351
10 0.099944038
12.589254 0.089135888
15.848932 0.079490712
19.952623 0.070884567
25.118864 0.063206473
31.622777 0.056357113
39.810717 0.050247638
50.118723 0.044798606
63.095734 0.039939003
79.432823 0.035605375
100 0.031741034
125.89254 0.028295354
158.48932 0.025223131
199.52623 0.02248401
251.18864 0.02004197
316.22777 0.017864868
398.10717 0.015924023
501.18723 0.014193843
630.95734 0.012651502
794.32823 0.011276637
1000 0.010051087
1258.9254 0.0089586553
1584.8932 0.0079848983
1995.2623 0.0071169361
2511.8864 0.0063432843
3162.2777 0.0056537029
3981.0717 0.0050390626
5011.8723 0.0044912238
6309.5734 0.0040029302
7943.2823 0.0035677128
10000 0.0031798048
