M gaindb
1 0.019000775
1.2589254 0.016936655
1.5848932 0.015096555
1.9952623 0.013456206
2.5118864 0.011993958
3.1622777 0.010690501
3.9810717 0.0095286148
5.0118723 0.0084929394
6.3095734 0.0075697791
7.9432823 0.0067469215
10 0.0060134771
12.589254 0.0053597372
15.848932 0.0047770456
19.952623 0.0042576853
25.118864 0.0037947763
31.622777 0.0033821856
39.810717 0.0030144457
50.118723 0.0026866829
63.095734 0.0023945526
79.432823 0.0021341821
100 0.0019021195
125.89254 0.0016952878
158.48932 0.0015109444
199.52623 0.0013466445
251.18864 0.0012002092
316.22777 0.0010696963
398.10717 0.00095337483
501.18723 0.00084970174
630.95734 0.00075730187
794.32823 0.00067494949
1000 0.00060155214
1258.9254 0.00053613611
1584.8932 0.00047783356
1995.2623 0.000425871
2511.8864 0.00037955903
3162.2777 0.00033828322
3981.0717 0.00030149593
5011.8723 0.00026870909
6309.5734 0.00023948767
7943.2823 0.00021344396
10000 0.0001902324
