x acc
0 0.5
0.00012658228 0.50225731
0.00025316456 0.50451455
0.00037974684 0.50677164
0.00050632911 0.50902852
0.00063291139 0.5112851
0.00075949367 0.51354133
0.00088607595 0.51579712
0.0010126582 0.51805241
0.0011392405 0.52030712
0.0012658228 0.52256118
0.0013924051 0.52481452
0.0015189873 0.52706706
0.0016455696 0.52931874
0.0017721519 0.53156949
0.0018987342 0.53381922
0.0020253165 0.53606788
0.0021518987 0.53831538
0.002278481 0.54056166
0.0024050633 0.54280664
0.0025316456 0.54505026
0.0026582278 0.54729245
0.0027848101 0.54953313
0.0029113924 0.55177223
0.0030379747 0.55400968
0.003164557 0.55624541
0.0032911392 0.55847935
0.0034177215 0.56071144
0.0035443038 0.5629416
0.0036708861 0.56516975
0.0037974684 0.56739584
0.0039240506 0.5696198
0.0040506329 0.57184154
0.0041772152 0.57406102
0.0043037975 0.57627815
0.0044303797 0.57849286
0.004556962 0.5807051
0.0046835443 0.58291479
0.0048101266 0.58512186
0.0049367089 0.58732625
0.0050632911 0.58952788
0.0051898734 0.5917267
0.0053164557 0.59392264
0.005443038 0.59611562
0.0055696203 0.59830559
0.0056962025 0.60049248
0.0058227848 0.60267621
0.0059493671 0.60485674
0.0060759494 0.60703398
0.0062025316 0.60920788
0.0063291139 0.61137837
0.0064556962 0.61354539
0.0065822785 0.61570888
0.0067088608 0.61786877
0.006835443 0.62002499
0.0069620253 0.62217749
0.0070886076 0.62432621
0.0072151899 0.62647107
0.0073417722 0.62861203
0.0074683544 0.63074901
0.0075949367 0.63288196
0.007721519 0.63501081
0.0078481013 0.63713551
0.0079746835 0.639256
0.0081012658 0.64137222
0.0082278481 0.6434841
0.0083544304 0.6455916
0.0084810127 0.64769465
0.0086075949 0.64979318
0.0087341772 0.65188716
0.0088607595 0.65397652
0.0089873418 0.65606119
0.0091139241 0.65814114
0.0092405063 0.66021629
0.0093670886 0.6622866
0.0094936709 0.66435202
0.0096202532 0.66641247
0.0097468354 0.66846793
0.0098734177 0.67051832
0.01 0.67256359
