eta,kl_meas,eps_pred_eta2_over_2,tv_bound,obs_snr_db,n_trials,wall_s
0.0,4.938269453469424e-06,0.0,0.0015713480603401374,0.0,200,1.32
0.045,0.0026640909333631724,0.0010125,0.0364971980661747,0.0,200,1.31
0.1,0.011367531822741084,0.005000000000000001,0.07539075481364106,0.0,200,1.3
0.2,0.049893876911751844,0.020000000000000004,0.15794599854341332,0.0,200,1.31
0.32,0.1369627800809261,0.0512,0.26168949165081706,0.0,200,1.31
0.45,0.29741004370449486,0.10125,0.38562290109930897,0.0,200,1.31
0.63,0.6398615959464662,0.19845000000000002,0.5656242551139697,0.0,200,1.31
